Orden,Materia,Semestre,Bloque,Carrera,Código,Programa,Categoría,Optativa,Lenguaje,SEDI,Estancia Empresarial,Ruta de Enfoque,Ruta_Enfoque
27,SEDI IX,5,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,XIII,0,0,0
42,SEDI XIV,7,2,Licenciatura en Mercadotecnia,LEM,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Mercadotecnia,LEM,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Mercadotecnia,LEM,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Mercadotecnia,LEM,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Mercadotecnia,LEM,S24,Estancia Empresarial,0,0,0,III,0,0
31,Negociación Y Comunicación Comercial,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,I,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
32,Administración De Cuentas Clave,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,II,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
34,Habilidades Para La Venta,6,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,III,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
37,Administración De Equipos De Venta,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,IV,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
38,Servicio Y Experiencia Al Cliente,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,V,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
40,Administración Y Promoción De Ventas,7,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,VI,0,0,0,Gestión De Ventas Estratégicas         ,LEM_Gestión De Ventas Estratégicas         
31,Métodos De Investigación Cualitativa,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,I,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
32,Métodos De Investigación Cuantitativa,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,II,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
34,Estadística Descriptiva E Inferencial,6,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,III,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
37,Estadística Multivariante,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,IV,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
38,Analítica Aplicada De Marketing,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,V,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
40,Visualización De Datos Y Storytelling,7,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,VI,0,0,0,Inteligencia De Mercados     ,LEM_Inteligencia De Mercados     
31,Search Engine Optimization (SEO),6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,I,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
32,Search Engine Marketing (SEM),6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,II,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
34,Marketing Automation,6,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,III,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
37,Growth Hacking,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,IV,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
38,Comercio Electrónico,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,V,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
40,Analítica Digital,7,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,VI,0,0,0,Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) ,LEM_Estrategias De Mercadotecnia En Buscadores Y Comercio Electrónico (Marketing Digital Estratégico) 
31,Diseño De Productos,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,I,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
32,Publicidad,6,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,II,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
34,Sociología Del Consumo,6,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,III,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
37,Comercio Detallista ,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,IV,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
38,UX/UI,7,1,Licenciatura en Mercadotecnia,LEM,S24,Optativa,V,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
40,Diseño Para Medios Digitales,7,2,Licenciatura en Mercadotecnia,LEM,S24,Optativa,VI,0,0,0,Estrategia Publicitaria           ,LEM_Estrategia Publicitaria           
1,Fundamentos De Diseño Gráfico,1,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
2,Introducción A La Animación,1,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
4,Fundamentos De Programación,1,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
7,Fundamentos De Dibujo Y Representación,2,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
8,Pre-Producción Para La Animación,2,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
10,Producción Audiovisual,2,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
13,Ilustración Digital,3,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
14,Animación 2D,3,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
16,Desarrollo De Aplicaciones Móviles,3,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
19,Diseño Para Medios Digitales,4,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
20,Modelación Y Animación 3D,4,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
22,UX/UI,4,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
25,Identidad Corporativa,5,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
26,Efectos Visuales,5,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
28,Mercadotecnia Digital,5,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,VIII,0,0,0
27,SEDI IX,5,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,XIII,0,0,0
42,SEDI XIV,7,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Diseño Gráfico y Animación,LDG,S24,Estancia Empresarial,0,0,0,III,0,0
1,Transformación Digital ,1,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
2,Estrategia Y Ventaja Competitiva,1,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
4,Fundamentos De Programación,1,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
7,Administración De Operaciones ,2,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
8,Emprendimiento ,2,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
10,Big Data Analytics,2,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
13,Economía Política Internacional,3,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
14,Geografía Política,3,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
16,Estrategias Para El Comercio Global,3,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
19,Sistemas E Infraestructura Logística,4,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
20,Gestión De Transportes,4,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
22,Administración De La Cadena De Suministros,4,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
25,Tratados Internacionales Y Comercio Exterior,5,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
26,Documentación Y Trámites Aduanales,5,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
28,Compras Y Desarrollo De Proveedores ,5,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,VIII,0,0,0
27,SEDI IX,5,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,XIII,0,0,0
42,SEDI XIV,7,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Comercio y Negocios Internacionales,LCN,S24,Estancia Empresarial,0,0,0,III,0,0
1,Ciencias De La Ingenieria,1,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
2,Fundamentos De Programación,1,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
4,Dibujo Computarizado,1,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
7,Procesos De Manufactura,2,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
8,Administración De Operaciones,2,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
10,Probabilidad Y Estadística Para Ciencia De Datos,2,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
13,Mecanica De Materiales,3,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
14,Matemáticas Avanzadas,3,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
16,Circuitos Electronicos Y Electricos,3,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
19,Ingenieria De Control,4,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
20,Automatizacion Industrial,4,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
22,Diseño Mecatronico,4,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
25,Control Digital,5,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
26,Róbatica Industrial,5,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
28,Diseño de Redes Industriales,5,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,VIII,0,0,0
27,SEDI IX,5,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,XIII,0,0,0
42,SEDI XIV,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,SEDI,0,0,XIV,0,0,0
5,Inglés I,1,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,I,0,0,0,0
11,Inglés II,2,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,II,0,0,0,0
17,Inglés III,3,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,III,0,0,0,0
23,Inglés IV,4,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,IV,0,0,0,0
29,Inglés V,5,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,V,0,0,0,0
35,Inglés VI,6,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,VI,0,0,0,0
41,Inglés VII,7,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Lenguaje,0,VII,0,0,0,0
43,Estancia Empresarial I,8,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Estancia Empresarial,0,0,0,I,0,0
44,Estancia Empresarial II,8,1,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Estancia Empresarial,0,0,0,II,0,0
45,Estancia Empresarial III,8,2,Licenciatura en Ingeniería en Mecatrónica,IMT,S24,Estancia Empresarial,0,0,0,III,0,0
1,Ciencias De La Ingenieria,1,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
2,Fundamentos De Programación,1,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
4,Dibujo Computarizado,1,2,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
7,Procesos De Manufactura,2,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
8,Administración De Operaciones,2,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
10,Probabilidad Y Estadística Para Ciencia De Datos,2,2,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
13,Ingeniería De Precisión ,3,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
14,Diseño Del Trabajo Y Entornos Industriales,3,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
16,Cadena De Valor Adaptativa Y Logística,3,2,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
19,Gestión De Operaciones Y Producción ,4,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
20,Excelencia Operacional Y Sustentabilidad,4,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
22,Herramientas Para La Medición Y Mejora De La Producción,4,2,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
25,Gestión De La Calidad,5,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
26,Evaluación De Proyectos,5,1,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
28,Simulación De Eventos Discretos,5,2,Licenciatura en Ingeniería Industrial,IIN,S24,Tronco Común,0,0,0,0,0,0
3,SEDI I,1,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,I,0,0,0
6,SEDI II,1,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,II,0,0,0
9,SEDI III,2,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,III,0,0,0
12,SEDI IV,2,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,IV,0,0,0
15,SEDI V,3,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,V,0,0,0
18,SEDI VI,3,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,VI,0,0,0
21,SEDI VII,4,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,VII,0,0,0
24,SEDI VIII,4,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,VIII,0,0,0
27,SEDI IX,5,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,IX,0,0,0
30,SEDI X,5,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,X,0,0,0
33,SEDI XI,6,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,XI,0,0,0
36,SEDI XII,6,2,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,XII,0,0,0
39,SEDI XIII,7,1,Licenciatura en Ingeniería Industrial,IIN,S24,SEDI,0,0,XIII,0,0,0
